Image,SSIM,PSNR,ERR,Host_img_size,Secret_image_size,time
Autumn1_Workflow.png,0.992303332916063,41.63768268770739,13.37929861111111,"(1920, 1200)","(508, 364)",3.381774663925171
Autumn1_skills.png,0.9924932262501444,41.67610728472968,13.261446180555556,"(1920, 1200)","(583, 225)",3.524404764175415
GreenlandIceSheet_States.png,0.9894427750426967,46.59341218387401,4.274254692925347,"(2048, 1152)","(1718, 481)",4.149789333343506
RainyLondon_States.png,0.9949294685132343,48.10514255315425,3.0177785011574074,"(3840, 2160)","(1718, 481)",12.65820860862732
RainyLondon_Workflow.png,0.996498539137432,50.01006595028346,1.946233844521605,"(3840, 2160)","(508, 364)",12.752899169921875
Pumpkin1_Level.png,0.9790523004357307,42.4195701819157,11.174924493863813,"(2121, 1414)","(1830, 914)",5.0861592292785645
Kids_Level.png,0.9859220957127852,44.349360003260976,7.1658153873620964,"(3760, 1728)","(1830, 914)",10.283361196517944
RainyLondon_P4Europe.png,0.9919747827321301,46.126463439060316,4.75943359375,"(3840, 2160)","(1626, 832)",12.911685466766357
RainyLondon_Sensore.png,0.99637576735336,49.90934435165976,1.9918983892746913,"(3840, 2160)","(516, 576)",11.981009721755981
Autumn3_P1ChildLabour.png,0.9893309574183565,39.706148358946585,20.873091634114584,"(2560, 1440)","(1735, 927)",6.3644585609436035
RainyLondon_rule.png,0.9965867915942445,50.187029761994296,1.8685238233024692,"(3840, 2160)","(1028, 170)",12.834562063217163
Kids_skills.png,0.9945639688436465,48.11557864922162,3.0105354856185973,"(3760, 1728)","(583, 225)",9.486341953277588
Pumpkin1_Sensore.png,0.992415738745803,46.01246116388214,4.886022912252834,"(2121, 1414)","(516, 576)",4.436691999435425
GreelanIceCap_P1ChildLabour.png,0.9791853271542234,42.90701240206182,9.988502332899305,"(2560, 1440)","(1735, 927)",6.462662696838379
GreenlandIceSheet_P4Europe.png,0.9808935534909602,43.049570745565475,9.665949927435982,"(2048, 1152)","(1626, 832)",4.421112775802612
GreenlandIceSheet_skills.png,0.9979260299804912,54.41083619393634,0.7065094841851128,"(2048, 1152)","(583, 225)",3.609710693359375
GreenlandIceSheet_P2GlobalWarming.png,0.9837906046323489,43.34607277677378,9.028057946099175,"(2048, 1152)","(1755, 881)",4.429678440093994
FamilyRunningMAsk_Sensore.png,0.9901515990127315,44.0312975589342,7.71031035665295,"(1080, 1080)","(516, 576)",2.029860019683838
Kids_Sensore.png,0.9944749656398114,47.99251715827858,3.097062001329787,"(3760, 1728)","(516, 576)",8.89500880241394
FamilyRunningMAsk_Workflow.png,0.9910170317447706,44.21888073964545,7.384371570644719,"(1080, 1080)","(508, 364)",2.399718761444092
Pumpkin1_P3Interlaken.png,0.9717933372476805,41.21980776604707,14.730613645320886,"(2121, 1414)","(1739, 899)",5.022700071334839
GreenlandIceSheet_Level.png,0.9880397303558713,45.06429141434441,6.078164842393663,"(2048, 1152)","(1830, 914)",4.52590012550354
GreelanIceCap_P4Europe.png,0.9813332682907722,43.50546320594094,8.702725694444444,"(2560, 1440)","(1626, 832)",6.209160327911377
Pumpkin1_P2GlobalWarming.png,0.9724342883626456,41.29446745951604,14.479543488800285,"(2121, 1414)","(1755, 881)",5.140962600708008
Kids_P5Tamil.png,0.9755894507820374,42.15700385331061,11.8713806392829,"(3760, 1728)","(1702, 934)",9.995822191238403
Pumpkin1_Workflow.png,0.9926019018146853,46.09697995347774,4.791854473384295,"(2121, 1414)","(508, 364)",4.037670612335205
Kids_P1ChildLabour.png,0.9753552268769079,42.14009827717397,11.9176818607171,"(3760, 1728)","(1735, 927)",10.157477855682373
RainyLondon_skills.png,0.9965992556602307,50.095456781714404,1.9083408082561728,"(3840, 2160)","(583, 225)",11.742745637893677
dog_Workflow.png,0.987220121298065,44.00461747047012,7.757823033707865,"(800, 534)","(508, 364)",0.8308722972869873
FamilyRunningMAsk_rule.png,0.99194557164824,44.547296639528454,6.846552640603567,"(1080, 1080)","(1028, 170)",2.1699986457824707
FamilyRunningMAsk_skills.png,0.9912542934825397,44.37515734644815,7.123376200274349,"(1080, 1080)","(583, 225)",1.9674575328826904
RainyLondon_P1ChildLabour.png,0.9904946784643829,45.58981323557119,5.385428843557099,"(3840, 2160)","(1735, 927)",13.113157749176025
Autumn3_skills.png,0.9949632295183073,41.70363763001685,13.177646484375,"(2560, 1440)","(583, 225)",5.3925817012786865
GreelanIceCap_States.png,0.9881239040935731,45.99996038740929,4.900107150607639,"(2560, 1440)","(1718, 481)",5.85936427116394
Autumn1_P3Interlaken.png,0.9860241517750667,39.27917253941104,23.0294921875,"(1920, 1200)","(1739, 899)",4.137547492980957
GreenlandIceSheet_P5Tamil.png,0.9775658773419575,42.25472744871087,11.607237497965494,"(2048, 1152)","(1702, 934)",4.5079567432403564
Kids_Workflow.png,0.994282149793429,47.92700078695796,3.14413754678881,"(3760, 1728)","(508, 364)",8.959852457046509
Autumn1_rule.png,0.9925658135768683,41.72644001335886,13.108639322916666,"(1920, 1200)","(1028, 170)",3.434354305267334
Autumn3_P5Tamil.png,0.9892104699743333,39.69731129392268,20.91560763888889,"(2560, 1440)","(1702, 934)",6.039862394332886
Autumn1_P5Tamil.png,0.9847451879744522,38.854436007564736,25.395572916666666,"(1920, 1200)","(1702, 934)",4.837512969970703
Pumpkin1_P1ChildLabour.png,0.9664863389839861,40.55593870239743,17.16357473290267,"(2121, 1414)","(1735, 927)",4.542888641357422
GreelanIceCap_Level.png,0.9867832771641035,44.91089527856015,6.296686740451389,"(2560, 1440)","(1830, 914)",6.218782901763916
Autumn3_Workflow.png,0.9949259349170175,41.681454724790505,13.245127495659721,"(2560, 1440)","(508, 364)",5.562229871749878
RainyLondon_P2GlobalWarming.png,0.992283835255527,46.27224166631799,4.602326750578704,"(3840, 2160)","(1755, 881)",9.53941535949707
Autumn3_P3Interlaken.png,0.9901400239638481,40.008442321461,19.469615885416665,"(2560, 1440)","(1739, 899)",6.017999172210693
GreelanIceCap_Sensore.png,0.9946903380645958,49.18221509752752,2.35494140625,"(2560, 1440)","(516, 576)",5.422137498855591
Pumpkin1_skills.png,0.9929260584868872,46.27344551012389,4.601051184124272,"(2121, 1414)","(583, 225)",4.44220495223999
GreenlandIceSheet_P1ChildLabour.png,0.9778427910622253,42.30353365332925,11.477525075276693,"(2048, 1152)","(1735, 927)",4.495067834854126
RainyLondon_P5Tamil.png,0.9906635638667439,45.59080738024673,5.38419620466821,"(3840, 2160)","(1702, 934)",12.858317375183105
GreelanIceCap_P2GlobalWarming.png,0.9832791011406092,43.75027080489118,8.225731608072916,"(2560, 1440)","(1755, 881)",7.048102140426636
dog_skills.png,0.9874866370867101,44.52261792232009,6.885568820224719,"(800, 534)","(583, 225)",0.7577850818634033
Kids_P2GlobalWarming.png,0.9802613980546181,43.0211350981196,9.729445860421592,"(3760, 1728)","(1755, 881)",10.04879355430603
Pumpkin1_States.png,0.9848687070774057,43.557696702411654,8.598683135640297,"(2121, 1414)","(1718, 481)",4.126503944396973
GreenlandIceSheet_rule.png,0.9981020158548942,54.73941733951847,0.6550280253092448,"(2048, 1152)","(1028, 170)",3.6018247604370117
GreelanIceCap_P3Interlaken.png,0.9823118296700187,43.63816765045026,8.440824110243055,"(2560, 1440)","(1739, 899)",6.79072380065918
