Image,Cosine_score,Deciphered_count,original_count,levenshtein_distance,time
Kids_Level.txt,0.9073713564728599,396,396,5,8.110129833221436
GreenlandIceSheet_P2GlobalWarming.txt,0.8236664986723672,574,573,13,11.630671739578247
Pumpkin1_rule.txt,0.82915619758885,50,49,1,1.0075604915618896
GreelanIceCap_P3Interlaken.txt,0.9174235347384501,584,580,16,11.852658748626709
Autumn3_rule.txt,0.7938566201357354,50,49,1,1.142864465713501
Pumpkin1_States.txt,0.9666666666666667,282,282,1,5.845433473587036
Autumn3_Workflow.txt,0.8017837257372731,66,66,0,1.3024141788482666
RainyLondon_P1ChildLabour.txt,0.85692452744258,721,715,17,14.572449684143066
Kids_Sensore.txt,1.0,73,73,0,1.445173978805542
GreelanIceCap_skills.txt,0.6708203932499369,55,56,2,1.2336232662200928
RainyLondon_rule.txt,0.82915619758885,50,49,1,1.1462299823760986
GreenlandIceSheet_P4Europe.txt,0.9454730171937421,595,595,5,12.122804403305054
Autumn1_Sensore.txt,1.0,73,73,0,1.259810447692871
GreenlandIceSheet_P1ChildLabour.txt,0.8402187836707041,720,715,16,14.67484188079834
Kids_States.txt,0.9666666666666667,282,282,1,5.1059019565582275
Kids_rule.txt,0.82915619758885,50,49,1,1.086916208267212
Autumn3_States.txt,0.9333333333333333,282,282,2,5.894543886184692
Autumn3_Level.txt,0.9073713564728599,396,396,5,8.076442241668701
GreelanIceCap_P2GlobalWarming.txt,0.8043618151097336,579,573,17,11.637865781784058
Pumpkin1_P3Interlaken.txt,0.931854787382905,583,580,11,11.853346586227417
Autumn3_Sensore.txt,1.0,73,73,0,1.2479150295257568
Pumpkin1_Sensore.txt,1.0,73,73,0,1.6683897972106934
Autumn3_P2GlobalWarming.txt,0.8365362877141229,574,573,9,11.742446660995483
dog_skills.txt,1.0,56,56,0,1.1856515407562256
RainyLondon_P3Interlaken.txt,0.9195342658665839,584,580,16,10.373503923416138
Autumn1_Workflow.txt,0.8017837257372731,66,66,0,1.4688291549682617
GreelanIceCap_P4Europe.txt,0.9390701001210365,598,595,13,12.674142599105835
Pumpkin1_Level.txt,0.9073713564728599,396,396,5,9.635043382644653
Kids_P3Interlaken.txt,0.931854787382905,583,580,11,10.31458306312561
GreelanIceCap_rule.txt,0.82915619758885,51,49,3,1.1697590351104736
Pumpkin1_P1ChildLabour.txt,0.8494519571176349,720,715,13,15.354684352874756
GreenlandIceSheet_Workflow.txt,0.6681531047810609,66,66,1,1.3693830966949463
GreelanIceCap_P5Tamil.txt,0.9293583018243473,721,714,19,15.08522891998291
Autumn3_P3Interlaken.txt,0.931854787382905,583,580,11,11.63223385810852
Autumn1_P4Europe.txt,0.9416527426346925,595,595,5,14.058741807937622
Autumn3_skills.txt,1.0,56,56,0,1.2879750728607178
Kids_Workflow.txt,0.8017837257372731,66,66,0,1.4090137481689453
Kids_P4Europe.txt,0.9454730171937421,595,595,5,10.624383449554443
Autumn1_Level.txt,0.8967288884531952,397,396,6,8.346942663192749
GreenlandIceSheet_skills.txt,1.0,56,56,0,1.2707064151763916
Autumn3_P5Tamil.txt,0.9275038738455822,718,714,12,15.014041900634766
Pumpkin1_Workflow.txt,0.8017837257372731,66,66,0,1.3674559593200684
GreelanIceCap_P1ChildLabour.txt,0.8350681592449252,721,715,22,14.995513916015625
GreenlandIceSheet_States.txt,0.9666666666666667,282,282,1,5.838849782943726
Autumn1_P2GlobalWarming.txt,0.8429711822350008,574,573,8,11.872862339019775
GreenlandIceSheet_P5Tamil.txt,0.9325629856237416,718,714,14,15.193878173828125
Autumn1_P5Tamil.txt,0.9340951610810182,719,714,12,14.703293561935425
GreenlandIceSheet_Sensore.txt,0.9285714285714286,73,73,1,1.3942210674285889
FamilyRunningMAsk_rule.txt,0.82915619758885,50,49,1,1.1467788219451904
Autumn3_P1ChildLabour.txt,0.8494519571176349,720,715,14,14.716790437698364
RainyLondon_skills.txt,1.0,56,56,0,1.2777745723724365
Pumpkin1_skills.txt,1.0,56,56,0,1.2814981937408447
Autumn1_P1ChildLabour.txt,0.8448353703941696,720,715,15,15.401591539382935
Autumn1_skills.txt,1.0,56,56,0,1.3542394638061523
FamilyRunningMAsk_skills.txt,1.0,56,56,0,1.2641751766204834
GreenlandIceSheet_rule.txt,0.82915619758885,50,49,1,1.128180980682373
Pumpkin1_P2GlobalWarming.txt,0.8429711822350008,574,573,8,11.688246726989746
GreelanIceCap_Level.txt,0.9073713564728599,399,396,14,7.686776399612427
Kids_P5Tamil.txt,0.9357676694231359,718,714,11,14.544928550720215
FamilyRunningMAsk_Sensore.txt,1.0,73,73,0,1.4156584739685059
GreelanIceCap_Sensore.txt,1.0,77,73,4,1.4674911499023438
Kids_skills.txt,1.0,56,56,0,1.2585725784301758
