Image,SSIM,PSNR,ERR,Host_img_size,Secret_image_size,time
Autumn1_Workflow.png,0.9926902198748628,41.859773369559946,12.712304253472222,"(1920, 1200)","(508, 364)",5.036883354187012
Autumn1_skills.png,0.9927796504421033,41.8761194492764,12.664547309027778,"(1920, 1200)","(583, 225)",5.063637018203735
GreenlandIceSheet_States.png,0.9927563254401335,50.299584945388304,1.8207198248969183,"(2048, 1152)","(1718, 481)",5.585839033126831
RainyLondon_States.png,0.9957357685508641,49.43805505273189,2.2202205102237653,"(3840, 2160)","(1718, 481)",18.417003393173218
RainyLondon_Workflow.png,0.9964388826209799,50.256521918547996,1.8388632089120371,"(3840, 2160)","(508, 364)",18.32741618156433
Pumpkin1_Level.png,0.9876662745109487,44.845524992263535,6.392181772228547,"(2121, 1414)","(1830, 914)",6.9989166259765625
Kids_Level.png,0.9908541424852063,46.7198359498247,4.151624064223799,"(3760, 1728)","(1830, 914)",13.854263305664062
RainyLondon_P4Europe.png,0.9944404283444239,48.38133508215102,2.8318360580632715,"(3840, 2160)","(1626, 832)",18.672159910202026
RainyLondon_Sensore.png,0.9963843310722811,50.21764987824465,1.8553960503472222,"(3840, 2160)","(516, 576)",18.106186389923096
Autumn3_P1ChildLabour.png,0.9926156914786874,40.94257280250169,15.701615397135416,"(2560, 1440)","(1735, 927)",8.407708406448364
RainyLondon_rule.png,0.9964705254004937,50.319120740834464,1.8125481047453704,"(3840, 2160)","(1028, 170)",17.723387718200684
Kids_skills.png,0.9955682919700101,49.06497040000862,2.419382726310087,"(3760, 1728)","(583, 225)",13.603153467178345
Pumpkin1_Sensore.png,0.9939786470091482,46.854010627597724,4.025321313703405,"(2121, 1414)","(516, 576)",6.4884374141693115
GreelanIceCap_P1ChildLabour.png,0.9886996647004582,46.27371823374669,4.600762261284722,"(2560, 1440)","(1735, 927)",8.490639448165894
GreenlandIceSheet_P4Europe.png,0.9876279199960648,46.986665618592255,3.9042269388834634,"(2048, 1152)","(1626, 832)",5.8764753341674805
GreenlandIceSheet_skills.png,0.9971619969141287,55.949782506106835,0.495705074734158,"(2048, 1152)","(583, 225)",5.42579460144043
GreenlandIceSheet_P2GlobalWarming.png,0.9884641762126055,47.18198412069939,3.7325291103786893,"(2048, 1152)","(1755, 881)",5.907808780670166
FamilyRunningMAsk_Sensore.png,0.9925215040803607,45.10318976420188,6.023967764060357,"(1080, 1080)","(516, 576)",2.715143918991089
Kids_Sensore.png,0.9955340921206237,49.012468049256256,2.4488084244483845,"(3760, 1728)","(516, 576)",13.528247594833374
FamilyRunningMAsk_Workflow.png,0.9929055883356983,45.18896030865108,5.90616512345679,"(1080, 1080)","(508, 364)",2.87249493598938
Pumpkin1_P3Interlaken.png,0.9842324028881116,44.02128851385161,7.728100553033683,"(2121, 1414)","(1739, 899)",7.1193249225616455
GreenlandIceSheet_Level.png,0.9907511919277118,48.67580277418134,2.6461919148763022,"(2048, 1152)","(1830, 914)",5.812940835952759
GreelanIceCap_P4Europe.png,0.9895937119050714,46.723707976751534,4.147924262152777,"(2560, 1440)","(1626, 832)",8.731253385543823
Pumpkin1_P2GlobalWarming.png,0.9845392676173436,44.07607435044461,7.6312236295361195,"(2121, 1414)","(1755, 881)",6.641104221343994
Kids_P5Tamil.png,0.9850920367419977,45.003962990730784,6.16318659500591,"(3760, 1728)","(1702, 934)",13.110952138900757
Pumpkin1_Workflow.png,0.9940689400410728,46.89113616342874,3.9910576327384204,"(2121, 1414)","(508, 364)",6.115875005722046
