Image,SSIM,PSNR,ERR,Host_img_size,Secret_image_size,time
Autumn1_Workflow.png,0.992303332916063,41.63768268770739,13.37929861111111,"(1920, 1200)","(508, 364)",3.723576307296753
Autumn1_skills.png,0.9924932262501444,41.67610728472968,13.261446180555556,"(1920, 1200)","(583, 225)",3.629502058029175
GreenlandIceSheet_States.png,0.9894427750426967,46.59341218387401,4.274254692925347,"(2048, 1152)","(1718, 481)",4.36354398727417
RainyLondon_States.png,0.9949294685132343,48.10514255315425,3.0177785011574074,"(3840, 2160)","(1718, 481)",13.301976680755615
RainyLondon_Workflow.png,0.996498539137432,50.01006595028346,1.946233844521605,"(3840, 2160)","(508, 364)",12.127853631973267
Pumpkin1_Level.png,0.9790523004357307,42.4195701819157,11.174924493863813,"(2121, 1414)","(1830, 914)",5.391608476638794
Kids_Level.png,0.9859220957127852,44.349360003260976,7.1658153873620964,"(3760, 1728)","(1830, 914)",10.561006784439087
RainyLondon_P4Europe.png,0.9919747827321301,46.126463439060316,4.75943359375,"(3840, 2160)","(1626, 832)",12.687957763671875
RainyLondon_Sensore.png,0.99637576735336,49.90934435165976,1.9918983892746913,"(3840, 2160)","(516, 576)",12.340875625610352
Autumn3_P1ChildLabour.png,0.9893309574183565,39.706148358946585,20.873091634114584,"(2560, 1440)","(1735, 927)",7.092604875564575
RainyLondon_rule.png,0.9965867915942445,50.187029761994296,1.8685238233024692,"(3840, 2160)","(1028, 170)",12.100130796432495
Kids_skills.png,0.9945639688436465,48.11557864922162,3.0105354856185973,"(3760, 1728)","(583, 225)",9.845383644104004
Pumpkin1_Sensore.png,0.992415738745803,46.01246116388214,4.886022912252834,"(2121, 1414)","(516, 576)",4.57745623588562
GreelanIceCap_P1ChildLabour.png,0.9791853271542234,42.90701240206182,9.988502332899305,"(2560, 1440)","(1735, 927)",6.694201469421387
GreenlandIceSheet_P4Europe.png,0.9808935534909602,43.049570745565475,9.665949927435982,"(2048, 1152)","(1626, 832)",4.67423939704895
GreenlandIceSheet_skills.png,0.9979260299804912,54.41083619393634,0.7065094841851128,"(2048, 1152)","(583, 225)",3.933032751083374
GreenlandIceSheet_P2GlobalWarming.png,0.9837906046323489,43.34607277677378,9.028057946099175,"(2048, 1152)","(1755, 881)",4.866635799407959
FamilyRunningMAsk_Sensore.png,0.9901515990127315,44.0312975589342,7.71031035665295,"(1080, 1080)","(516, 576)",2.0466725826263428
Kids_Sensore.png,0.9944749656398114,47.99251715827858,3.097062001329787,"(3760, 1728)","(516, 576)",9.654420852661133
FamilyRunningMAsk_Workflow.png,0.9910170317447706,44.21888073964545,7.384371570644719,"(1080, 1080)","(508, 364)",2.073925733566284
Pumpkin1_P3Interlaken.png,0.9717933372476805,41.21980776604707,14.730613645320886,"(2121, 1414)","(1739, 899)",5.683347225189209
GreenlandIceSheet_Level.png,0.9880397303558713,45.06429141434441,6.078164842393663,"(2048, 1152)","(1830, 914)",4.876962423324585
GreelanIceCap_P4Europe.png,0.9813332682907722,43.50546320594094,8.702725694444444,"(2560, 1440)","(1626, 832)",6.741374492645264
Pumpkin1_P2GlobalWarming.png,0.9724342883626456,41.29446745951604,14.479543488800285,"(2121, 1414)","(1755, 881)",5.406746864318848
Kids_P5Tamil.png,0.9755894507820374,42.15700385331061,11.8713806392829,"(3760, 1728)","(1702, 934)",10.6989164352417
Pumpkin1_Workflow.png,0.9926019018146853,46.09697995347774,4.791854473384295,"(2121, 1414)","(508, 364)",4.460365533828735
Kids_P1ChildLabour.png,0.9753552268769079,42.14009827717397,11.9176818607171,"(3760, 1728)","(1735, 927)",10.50786018371582
RainyLondon_skills.png,0.9965992556602307,50.095456781714404,1.9083408082561728,"(3840, 2160)","(583, 225)",12.11910367012024
dog_Workflow.png,0.987220121298065,44.00461747047012,7.757823033707865,"(800, 534)","(508, 364)",0.8327808380126953
FamilyRunningMAsk_rule.png,0.99194557164824,44.547296639528454,6.846552640603567,"(1080, 1080)","(1028, 170)",2.027104616165161
FamilyRunningMAsk_skills.png,0.9912542934825397,44.37515734644815,7.123376200274349,"(1080, 1080)","(583, 225)",2.0371627807617188
RainyLondon_P1ChildLabour.png,0.9904946784643829,45.58981323557119,5.385428843557099,"(3840, 2160)","(1735, 927)",13.306504964828491
Autumn3_skills.png,0.9949632295183073,41.70363763001685,13.177646484375,"(2560, 1440)","(583, 225)",6.070981740951538
GreelanIceCap_States.png,0.9881239040935731,45.99996038740929,4.900107150607639,"(2560, 1440)","(1718, 481)",6.439051628112793
Autumn1_P3Interlaken.png,0.9860241517750667,39.27917253941104,23.0294921875,"(1920, 1200)","(1739, 899)",4.443799018859863
GreenlandIceSheet_P5Tamil.png,0.9775658773419575,42.25472744871087,11.607237497965494,"(2048, 1152)","(1702, 934)",4.787303924560547
Kids_Workflow.png,0.994282149793429,47.92700078695796,3.14413754678881,"(3760, 1728)","(508, 364)",9.8065345287323
Autumn1_rule.png,0.9925658135768683,41.72644001335886,13.108639322916666,"(1920, 1200)","(1028, 170)",3.6732518672943115
Autumn3_P5Tamil.png,0.9892104699743333,39.69731129392268,20.91560763888889,"(2560, 1440)","(1702, 934)",6.896825313568115
Autumn1_P5Tamil.png,0.9847451879744522,38.854436007564736,25.395572916666666,"(1920, 1200)","(1702, 934)",4.595301628112793
Pumpkin1_P1ChildLabour.png,0.9664863389839861,40.55593870239743,17.16357473290267,"(2121, 1414)","(1735, 927)",5.448889970779419
GreelanIceCap_Level.png,0.9867832771641035,44.91089527856015,6.296686740451389,"(2560, 1440)","(1830, 914)",6.696093797683716
