Image,Cosine_score,Deciphered_count,original_count,levenshtein_distance,time
Kids_Level.txt,0.9073713564728599,396,396,5,7.761471509933472
GreenlandIceSheet_P2GlobalWarming.txt,0.8236664986723672,574,573,13,10.077553749084473
Pumpkin1_rule.txt,0.82915619758885,50,49,1,1.0009989738464355
GreelanIceCap_P3Interlaken.txt,0.9174235347384501,584,580,16,10.855158805847168
Autumn3_rule.txt,0.7938566201357354,50,49,1,0.9817509651184082
Pumpkin1_States.txt,0.9666666666666667,282,282,1,5.401652812957764
Autumn3_Workflow.txt,0.8017837257372731,66,66,0,1.4190399646759033
RainyLondon_P1ChildLabour.txt,0.85692452744258,721,715,17,15.31595754623413
Kids_Sensore.txt,1.0,73,73,0,1.2516851425170898
GreelanIceCap_skills.txt,0.6708203932499369,55,56,2,1.0673184394836426
RainyLondon_rule.txt,0.82915619758885,50,49,1,0.995671272277832
GreenlandIceSheet_P4Europe.txt,0.9454730171937421,595,595,5,10.508353471755981
Autumn1_Sensore.txt,1.0,73,73,0,1.2388222217559814
GreenlandIceSheet_P1ChildLabour.txt,0.8402187836707041,720,715,16,14.67490816116333
Kids_States.txt,0.9666666666666667,282,282,1,5.095700025558472
Kids_rule.txt,0.82915619758885,50,49,1,1.2306127548217773
Autumn3_States.txt,0.9333333333333333,282,282,2,5.092228412628174
Autumn3_Level.txt,0.9073713564728599,396,396,5,7.031437397003174
GreelanIceCap_P2GlobalWarming.txt,0.8043618151097336,579,573,17,10.366294860839844
Pumpkin1_P3Interlaken.txt,0.931854787382905,583,580,11,12.235232830047607
Autumn3_Sensore.txt,1.0,73,73,0,1.25435209274292
Pumpkin1_Sensore.txt,1.0,73,73,0,1.2539031505584717
Autumn3_P2GlobalWarming.txt,0.8365362877141229,574,573,9,10.798952579498291
dog_skills.txt,1.0,56,56,0,1.2414772510528564
RainyLondon_P3Interlaken.txt,0.9195342658665839,584,580,16,10.219835042953491
Autumn1_Workflow.txt,0.8017837257372731,66,66,0,1.4860718250274658
GreelanIceCap_P4Europe.txt,0.9390701001210365,598,595,13,12.186365365982056
Pumpkin1_Level.txt,0.9073713564728599,396,396,5,7.629963159561157
Kids_P3Interlaken.txt,0.931854787382905,583,580,11,10.121168375015259
GreelanIceCap_rule.txt,0.82915619758885,51,49,3,0.9948887825012207
Pumpkin1_P1ChildLabour.txt,0.8494519571176349,720,715,13,13.26150107383728
GreenlandIceSheet_Workflow.txt,0.6681531047810609,66,66,1,1.2653532028198242
GreelanIceCap_P5Tamil.txt,0.9293583018243473,721,714,19,12.864550113677979
Autumn3_P3Interlaken.txt,0.931854787382905,583,580,11,12.301074028015137
Autumn1_P4Europe.txt,0.9416527426346925,595,595,5,11.484214067459106
Autumn3_skills.txt,1.0,56,56,0,1.2755019664764404
Kids_Workflow.txt,0.8017837257372731,66,66,0,1.4218733310699463
Kids_P4Europe.txt,0.9454730171937421,595,595,5,10.46926474571228
Autumn1_Level.txt,0.8967288884531952,397,396,6,6.834408760070801
GreenlandIceSheet_skills.txt,1.0,56,56,0,1.1107385158538818
Autumn3_P5Tamil.txt,0.9275038738455822,718,714,12,14.171051740646362
Pumpkin1_Workflow.txt,0.8017837257372731,66,66,0,1.4715027809143066
GreelanIceCap_P1ChildLabour.txt,0.8350681592449252,721,715,22,12.55502963066101
GreenlandIceSheet_States.txt,0.9666666666666667,282,282,1,5.600238561630249
Autumn1_P2GlobalWarming.txt,0.8429711822350008,574,573,8,10.17990231513977
GreenlandIceSheet_P5Tamil.txt,0.9325629856237416,718,714,14,14.236361265182495
Autumn1_P5Tamil.txt,0.9340951610810182,719,714,12,15.031804323196411
GreenlandIceSheet_Sensore.txt,0.9285714285714286,73,73,1,1.2864875793457031
FamilyRunningMAsk_rule.txt,0.82915619758885,50,49,1,1.034621000289917
Autumn3_P1ChildLabour.txt,0.8494519571176349,720,715,14,13.357637643814087
RainyLondon_skills.txt,1.0,56,56,0,1.2543344497680664
Pumpkin1_skills.txt,1.0,56,56,0,1.1993448734283447
Autumn1_P1ChildLabour.txt,0.8448353703941696,720,715,15,12.545732021331787
Autumn1_skills.txt,1.0,56,56,0,1.306328535079956
FamilyRunningMAsk_skills.txt,1.0,56,56,0,1.1793391704559326
GreenlandIceSheet_rule.txt,0.82915619758885,50,49,1,1.01395845413208
Pumpkin1_P2GlobalWarming.txt,0.8429711822350008,574,573,8,13.130640745162964
GreelanIceCap_Level.txt,0.9073713564728599,399,396,14,7.562913179397583
Kids_P5Tamil.txt,0.9357676694231359,718,714,11,16.474689960479736
FamilyRunningMAsk_Sensore.txt,1.0,73,73,0,1.2549257278442383
GreelanIceCap_Sensore.txt,1.0,77,73,4,1.427696943283081
Kids_skills.txt,1.0,56,56,0,1.1143839359283447
Autumn3_P4Europe.txt,0.9454730171937421,595,595,5,11.143431663513184
RainyLondon_States.txt,0.9666666666666667,282,282,1,5.637537956237793
Kids_P2GlobalWarming.txt,0.8365362877141229,574,573,9,10.408013105392456
GreenlandIceSheet_Level.txt,0.9235488688018694,396,396,6,8.721422910690308
GreelanIceCap_States.txt,0.8391463916782737,283,282,8,6.2734880447387695
RainyLondon_P4Europe.txt,0.9454730171937421,595,595,6,12.038825035095215
RainyLondon_Sensore.txt,1.0,73,73,0,1.5273497104644775
RainyLondon_Level.txt,0.9073713564728599,398,396,8,6.84630560874939
FamilyRunningMAsk_Workflow.txt,0.8017837257372731,66,66,0,1.1979129314422607
GreelanIceCap_Workflow.txt,0.4999999999999999,70,66,6,1.2081646919250488
